username,repo,stars,url
mrdoob,three.js,78989,https://github.com/mrdoob/three.js
libgdx,libgdx,19634,https://github.com/libgdx/libgdx
pmndrs,react-three-fiber,16775,https://github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,15873,https://github.com/BabylonJS/Babylon.js
aframevr,aframe,13755,https://github.com/aframevr/aframe
ssloy,tinyrenderer,12083,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,12064,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,10688,https://github.com/FreeCAD/FreeCAD
metafizzy,zdog,8998,https://github.com/metafizzy/zdog
CesiumGS,cesium,8255,https://github.com/CesiumGS/cesium
timzhang642,3D-Machine-Learning,7591,https://github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7041,https://github.com/a1studmuffin/SpaceshipGenerator
isl-org,Open3D,6121,https://github.com/isl-org/Open3D
domlysz,BlenderGIS,4831,https://github.com/domlysz/BlenderGIS
spritejs,spritejs,4759,https://github.com/spritejs/spritejs
blender,blender,4710,https://github.com/blender/blender
openscad,openscad,4602,https://github.com/openscad/openscad
tensorspace-team,tensorspace,4564,https://github.com/tensorspace-team/tensorspace
jagenjo,webglstudio.js,4549,https://github.com/jagenjo/webglstudio.js
YadiraF,PRNet,4525,https://github.com/YadiraF/PRNet
AaronJackson,vrn,4399,https://github.com/AaronJackson/vrn
ssloy,tinyraytracer,4033,https://github.com/ssloy/tinyraytracer
google,model-viewer,3961,https://github.com/google/model-viewer
mosra,magnum,3799,https://github.com/mosra/magnum
gfxfundamentals,webgl-fundamentals,3415,https://github.com/gfxfundamentals/webgl-fundamentals
FyroxEngine,Fyrox,3350,https://github.com/FyroxEngine/Fyrox
cleardusk,3DDFA,3183,https://github.com/cleardusk/3DDFA
tengbao,vanta,3150,https://github.com/tengbao/vanta
jasonlong,isometric-contributions,3128,https://github.com/jasonlong/isometric-contributions
cnr-isti-vclab,meshlab,2733,https://github.com/cnr-isti-vclab/meshlab
