username,repo,stars,url
public-apis,public-apis,179885,https://github.com/public-apis/public-apis
neovim,neovim,50726,https://github.com/neovim/neovim
strapi,strapi,43028,https://github.com/strapi/strapi
tiangolo,fastapi,41627,https://github.com/tiangolo/fastapi
hoppscotch,hoppscotch,36321,https://github.com/hoppscotch/hoppscotch
slatedocs,slate,33658,https://github.com/slatedocs/slate
hasura,graphql-engine,25462,https://github.com/hasura/graphql-engine
YMFE,yapi,23531,https://github.com/YMFE/yapi
ccxt,ccxt,23236,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,22798,https://github.com/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,22788,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,22014,https://github.com/littlecodersh/ItChat
paularmstrong,normalizr,20808,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20053,https://github.com/FallibleInc/security-guide-for-developers
Kong,insomnia,19604,https://github.com/Kong/insomnia
microsoft,api-guidelines,18496,https://github.com/microsoft/api-guidelines
pubkey,rxdb,17002,https://github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,16671,https://github.com/shieldfy/API-Security-Checklist
directus,directus,13813,https://github.com/directus/directus
learn-anything,learn-anything,13626,https://github.com/learn-anything/learn-anything
ChainSafe,web3.js,13552,https://github.com/ChainSafe/web3.js
youfou,wxpy,13099,https://github.com/youfou/wxpy
jsdoc,jsdoc,12687,https://github.com/jsdoc/jsdoc
BrainJS,brain.js,12433,https://github.com/BrainJS/brain.js
fangzesheng,free-api,11875,https://github.com/fangzesheng/free-api
OpenAPITools,openapi-generator,11207,https://github.com/OpenAPITools/openapi-generator
graphile,postgraphile,11085,https://github.com/graphile/postgraphile
go-chi,chi,10927,https://github.com/go-chi/chi
postmanlabs,httpbin,10542,https://github.com/postmanlabs/httpbin
star7th,showdoc,10229,https://github.com/star7th/showdoc
