username,repo,stars,url
aspnetboilerplate,aspnetboilerplate,10154,https://github.com/aspnetboilerplate/aspnetboilerplate
dotnet,AspNetCore.Docs,10102,https://github.com/dotnet/AspNetCore.Docs
bitwarden,server,9176,https://github.com/bitwarden/server
nopSolutions,nopCommerce,6956,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6156,https://github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,4935,https://github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,4556,https://github.com/thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,2454,https://github.com/JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,2391,https://github.com/smartstore/SmartStoreNET
dotnet,aspnet-api-versioning,2188,https://github.com/dotnet/aspnet-api-versioning
loic-sharma,BaGet,1912,https://github.com/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-DotNet,1575,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
TrilonIO,aspnetcore-angular-universal,1459,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1195,https://github.com/TrilonIO/aspnetcore-Vue-starter
lampo1024,DncZeus,1176,https://github.com/lampo1024/DncZeus
MarimerLLC,csla,982,https://github.com/MarimerLLC/csla
riganti,dotvvm,599,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,588,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
json-api-dotnet,JsonApiDotNetCore,539,https://github.com/json-api-dotnet/JsonApiDotNetCore
antonioCoco,SharPyShell,516,https://github.com/antonioCoco/SharPyShell
chsakell,mvcarchitecture,451,https://github.com/chsakell/mvcarchitecture
brthor,Gofer.NET,433,https://github.com/brthor/Gofer.NET
YAFNET,YAFNET,423,https://github.com/YAFNET/YAFNET
Maarten88,rrod,379,https://github.com/Maarten88/rrod
IvanJosipovic,BlazorTable,373,https://github.com/IvanJosipovic/BlazorTable
SapphireDb,SapphireDb,368,https://github.com/SapphireDb/SapphireDb
Taritsyn,WebMarkupMin,345,https://github.com/Taritsyn/WebMarkupMin
chsakell,aspnet-core-identity,328,https://github.com/chsakell/aspnet-core-identity
EEParker,aspnetcore-vueclimiddleware,316,https://github.com/EEParker/aspnetcore-vueclimiddleware
ALMMa,datatables.aspnet,284,https://github.com/ALMMa/datatables.aspnet
