username,repo,stars,url
amphp,amp,3521,https://github.com/amphp/amp
danog,MadelineProto,1830,https://github.com/danog/MadelineProto
amphp,http-server,1162,https://github.com/amphp/http-server
unreal4u,telegram-api,689,https://github.com/unreal4u/telegram-api
amphp,http-client,597,https://github.com/amphp/http-client
amphp,parallel,565,https://github.com/amphp/parallel
php-service-bus,service-bus,313,https://github.com/php-service-bus/service-bus
amphp,byte-stream,273,https://github.com/amphp/byte-stream
amphp,mysql,263,https://github.com/amphp/mysql
amphp,parallel-functions,215,https://github.com/amphp/parallel-functions
amphp,process,161,https://github.com/amphp/process
amphp,socket,151,https://github.com/amphp/socket
amphp,redis,121,https://github.com/amphp/redis
amphp,dns,109,https://github.com/amphp/dns
kelunik,acme,106,https://github.com/kelunik/acme
amphp,websocket-client,97,https://github.com/amphp/websocket-client
amphp,sync,98,https://github.com/amphp/sync
PeeHaa,mailgrab,91,https://github.com/PeeHaa/mailgrab
amphp,websocket-server,74,https://github.com/amphp/websocket-server
amphp,file,70,https://github.com/amphp/file
jolicode,asynit,68,https://github.com/jolicode/asynit
amphp,cache,65,https://github.com/amphp/cache
amphp,postgres,63,https://github.com/amphp/postgres
amphp,serialization,63,https://github.com/amphp/serialization
amphp,windows-registry,60,https://github.com/amphp/windows-registry
amphp,hpack,59,https://github.com/amphp/hpack
amphp,beanstalk,56,https://github.com/amphp/beanstalk
phpinnacle,ridge,45,https://github.com/phpinnacle/ridge
amphp,aerys,42,https://github.com/amphp/aerys
amphp,cluster,41,https://github.com/amphp/cluster
