username,repo,stars,url
flutter,flutter,136215,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,87284,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,61119,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,49273,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,45006,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,42069,https://github.com/wasabeef/awesome-android-ui
square,okhttp,41568,https://github.com/square/okhttp
android,architecture-samples,40151,https://github.com/android/architecture-samples
square,retrofit,39502,https://github.com/square/retrofit
Solido,awesome-flutter,39320,https://github.com/Solido/awesome-flutter
PhilJay,MPAndroidChart,34619,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,34065,https://github.com/fastlane/fastlane
airbnb,lottie-android,32381,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,32304,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,32206,https://github.com/bumptech/glide
Trinea,android-open-project,30826,https://github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,30397,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,30106,https://github.com/xitu/gold-miner
bilibili,ijkplayer,29963,https://github.com/bilibili/ijkplayer
zxing,zxing,29003,https://github.com/zxing/zxing
skylot,jadx,28988,https://github.com/skylot/jadx
laurent22,joplin,28074,https://github.com/laurent22/joplin
codepath,android_guides,27662,https://github.com/codepath/android_guides
square,leakcanary,27210,https://github.com/square/leakcanary
alibaba,fastjson,24103,https://github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,23266,https://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,22610,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,21986,https://github.com/react-native-elements/react-native-elements
google,iosched,21132,https://github.com/google/iosched
NativeScript,NativeScript,20873,https://github.com/NativeScript/NativeScript
