username,repo,stars,url
justjavac,free-programming-books-zh_CN,87284,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,79525,https://github.com/angular/angular
storybookjs,storybook,68711,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,46530,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,46322,https://github.com/ionic-team/ionic-framework
prettier,prettier,41868,https://github.com/prettier/prettier
SheetJS,sheetjs,29004,https://github.com/SheetJS/sheetjs
angular,angular-cli,25205,https://github.com/angular/angular-cli
angular,components,22464,https://github.com/angular/components
NativeScript,NativeScript,20873,https://github.com/NativeScript/NativeScript
jhipster,generator-jhipster,19298,https://github.com/jhipster/generator-jhipster
pubkey,rxdb,17002,https://github.com/pubkey/rxdb
handsontable,handsontable,16227,https://github.com/handsontable/handsontable
teambit,bit,14704,https://github.com/teambit/bit
goldbergyoni,javascript-testing-best-practices,14446,https://github.com/goldbergyoni/javascript-testing-best-practices
sweetalert2,sweetalert2,14151,https://github.com/sweetalert2/sweetalert2
linnovate,mean,12134,https://github.com/linnovate/mean
codesandbox,codesandbox-client,11223,https://github.com/codesandbox/codesandbox-client
nrwl,nx,10663,https://github.com/nrwl/nx
PatrickJS,angular-starter,10392,https://github.com/PatrickJS/angular-starter
Chocobozzz,PeerTube,10287,https://github.com/Chocobozzz/PeerTube
angular,protractor,8792,https://github.com/angular/protractor
OnsenUI,OnsenUI,8535,https://github.com/OnsenUI/OnsenUI
dotansimha,graphql-code-generator,8283,https://github.com/dotansimha/graphql-code-generator
PatrickJS,awesome-angular,8206,https://github.com/PatrickJS/awesome-angular
text-mask,text-mask,8111,https://github.com/text-mask/text-mask
sudheerj,javascript-interview-questions,8045,https://github.com/sudheerj/javascript-interview-questions
NG-ZORRO,ng-zorro-antd,8016,https://github.com/NG-ZORRO/ng-zorro-antd
ag-grid,ag-grid,7995,https://github.com/ag-grid/ag-grid
ng-bootstrap,ng-bootstrap,7885,https://github.com/ng-bootstrap/ng-bootstrap
