username,repo,stars,url
ansible,ansible,52093,https://github.com/ansible/ansible
trailofbits,algo,24579,https://github.com/trailofbits/algo
StreisandEffect,streisand,22634,https://github.com/StreisandEffect/streisand
bregman-arie,devops-exercises,21223,https://github.com/bregman-arie/devops-exercises
kubernetes-sigs,kubespray,11842,https://github.com/kubernetes-sigs/kubespray
ansible,awx,10640,https://github.com/ansible/awx
easzlab,kubeasz,7765,https://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,5443,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,5265,https://github.com/khuedoan/homelab
ansible-semaphore,semaphore,4707,https://github.com/ansible-semaphore/semaphore
rundeck,rundeck,4481,https://github.com/rundeck/rundeck
geerlingguy,mac-dev-playbook,4346,https://github.com/geerlingguy/mac-dev-playbook
Tikam02,DevOps-Guide,4299,https://github.com/Tikam02/DevOps-Guide
KubeOperator,KubeOperator,4211,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,3348,https://github.com/clong/DetectionLab
ansible-community,molecule,3285,https://github.com/ansible-community/molecule
opendevops-cn,opendevops,3039,https://github.com/opendevops-cn/opendevops
werf,werf,2943,https://github.com/werf/werf
welliamcao,OpsManage,2878,https://github.com/welliamcao/OpsManage
netbootxyz,netboot.xyz,2859,https://github.com/netbootxyz/netboot.xyz
MichaelCade,90DaysOfDevOps,2721,https://github.com/MichaelCade/90DaysOfDevOps
ansible-community,ansible-lint,2688,https://github.com/ansible-community/ansible-lint
dev-sec,ansible-collection-hardening,2617,https://github.com/dev-sec/ansible-collection-hardening
alixaxel,chrome-aws-lambda,2560,https://github.com/alixaxel/chrome-aws-lambda
litmuschaos,litmus,2521,https://github.com/litmuschaos/litmus
roots,trellis,2314,https://github.com/roots/trellis
ansistrano,deploy,2156,https://github.com/ansistrano/deploy
openshift,openshift-ansible,2036,https://github.com/openshift/openshift-ansible
fboender,ansible-cmdb,2027,https://github.com/fboender/ansible-cmdb
pytest-dev,pytest-testinfra,2005,https://github.com/pytest-dev/pytest-testinfra
