username,repo,stars,url
arendst,Tasmota,17109,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,12624,https://github.com/MarlinFirmware/Marlin
rwaldron,johnny-five,12541,https://github.com/rwaldron/johnny-five
arduino,Arduino,12464,https://github.com/arduino/Arduino
SpacehuhnTech,esp8266_deauther,9608,https://github.com/SpacehuhnTech/esp8266_deauther
tinygo-org,tinygo,9427,https://github.com/tinygo-org/tinygo
espressif,arduino-esp32,8092,https://github.com/espressif/arduino-esp32
hybridgroup,gobot,7617,https://github.com/hybridgroup/gobot
gurugio,lowlevelprogramming-university,7337,https://github.com/gurugio/lowlevelprogramming-university
platformio,platformio-core,5666,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,5539,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,4998,https://github.com/tzapu/WiFiManager
hybridgroup,cylon,3880,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3488,https://github.com/Arduino-IRremote/Arduino-IRremote
blynkkk,blynk-library,3342,https://github.com/blynkkk/blynk-library
arduino,arduino-cli,3264,https://github.com/arduino/arduino-cli
NectarJS,nectarjs,3161,https://github.com/NectarJS/nectarjs
olikraus,u8g2,2838,https://github.com/olikraus/u8g2
gioblu,PJON,2633,https://github.com/gioblu/PJON
1technophile,OpenMQTTGateway,2481,https://github.com/1technophile/OpenMQTTGateway
Serial-Studio,Serial-Studio,2299,https://github.com/Serial-Studio/Serial-Studio
scottlawsonbc,audio-reactive-led-strip,2254,https://github.com/scottlawsonbc/audio-reactive-led-strip
isl-org,OpenBot,2065,https://github.com/isl-org/OpenBot
crankyoldgit,IRremoteESP8266,2014,https://github.com/crankyoldgit/IRremoteESP8266
scottbez1,splitflap,2004,https://github.com/scottbez1/splitflap
nRF24,RF24,1840,https://github.com/nRF24/RF24
stm32duino,Arduino_Core_STM32,1769,https://github.com/stm32duino/Arduino_Core_STM32
Bodmer,TFT_eSPI,1692,https://github.com/Bodmer/TFT_eSPI
blinker-iot,blinker-library,1676,https://github.com/blinker-iot/blinker-library
ThingPulse,esp8266-oled-ssd1306,1622,https://github.com/ThingPulse/esp8266-oled-ssd1306
