username,repo,stars,url
atom,atom,56763,https://github.com/atom/atom
themerdev,themer,4565,https://github.com/themerdev/themer
nteract,hydrogen,3772,https://github.com/nteract/hydrogen
shd101wyy,markdown-preview-enhanced,3550,https://github.com/shd101wyy/markdown-preview-enhanced
miniflux,v2,3332,https://github.com/miniflux/v2
atom,teletype,2352,https://github.com/atom/teletype
mehcode,awesome-atom,1864,https://github.com/mehcode/awesome-atom
mmcdole,gofeed,1810,https://github.com/mmcdole/gofeed
joefitzgerald,go-plus,1516,https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1506,https://github.com/Glavin001/atom-beautify
simplepie,simplepie,1424,https://github.com/simplepie/simplepie
t9md,atom-vim-mode-plus,1413,https://github.com/t9md/atom-vim-mode-plus
ocaml,merlin,1372,https://github.com/ocaml/merlin
kurtmckee,feedparser,1358,https://github.com/kurtmckee/feedparser
MagicStack,MagicPython,1297,https://github.com/MagicStack/MagicPython
atom,apm,1236,https://github.com/atom/apm
file-icons,atom,1181,https://github.com/file-icons/atom
kettanaito,atomic-layout,1057,https://github.com/kettanaito/atomic-layout
atom,github,994,https://github.com/atom/github
nmdias,FeedKit,961,https://github.com/nmdias/FeedKit
nathanbuchar,atom-one-dark-terminal,946,https://github.com/nathanbuchar/atom-one-dark-terminal
danhper,atomic-chrome,926,https://github.com/danhper/atomic-chrome
jesseweed,seti-ui,888,https://github.com/jesseweed/seti-ui
fwcd,kotlin-language-server,864,https://github.com/fwcd/kotlin-language-server
prettier,prettier-atom,771,https://github.com/prettier/prettier-atom
raphamorim,lucario,739,https://github.com/raphamorim/lucario
atom-community,atom-script,729,https://github.com/atom-community/atom-script
jpmonette,feed,721,https://github.com/jpmonette/feed
jasonmunro,cypht,694,https://github.com/jasonmunro/cypht
jekyll,jekyll-feed,693,https://github.com/jekyll/jekyll-feed
