username,repo,stars,url
sindresorhus,awesome,189011,https://github.com/sindresorhus/awesome
vinta,awesome-python,116278,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,77277,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,75240,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,59602,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,53116,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,52229,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,49273,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,47641,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,45081,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,43740,https://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,42069,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,39320,https://github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,39182,https://github.com/prakhar1989/awesome-courses
vsouza,awesome-ios,38984,https://github.com/vsouza/awesome-ios
MunGell,awesome-for-beginners,38604,https://github.com/MunGell/awesome-for-beginners
binhnguyennus,awesome-scalability,37350,https://github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,35825,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,33831,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,33157,https://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,31356,https://github.com/akullpp/awesome-java
serhii-londar,open-source-mac-os-apps,29422,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,29343,https://github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,28966,https://github.com/brillout/awesome-react-components
ziadoz,awesome-php,26202,https://github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,25618,https://github.com/herrbischoff/awesome-macos-command-line
rust-unofficial,awesome-rust,24170,https://github.com/rust-unofficial/awesome-rust
goabstract,Awesome-Design-Tools,23893,https://github.com/goabstract/Awesome-Design-Tools
alebcay,awesome-shell,22923,https://github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,22398,https://github.com/sindresorhus/awesome-electron
