username,repo,stars,url
bregman-arie,devops-exercises,21223,https://github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,12446,https://github.com/ramitsurana/awesome-kubernetes
microsoft,recommenders,12196,https://github.com/microsoft/recommenders
Azure,azure-quickstart-templates,11395,https://github.com/Azure/azure-quickstart-templates
pulumi,pulumi,11394,https://github.com/pulumi/pulumi
mozilla,sops,9112,https://github.com/mozilla/sops
microsoft,computervision-recipes,8284,https://github.com/microsoft/computervision-recipes
google,go-cloud,8224,https://github.com/google/go-cloud
caprover,caprover,8141,https://github.com/caprover/caprover
microsoft,azuredatastudio,6655,https://github.com/microsoft/azuredatastudio
node-formidable,formidable,6112,https://github.com/node-formidable/formidable
midwayjs,midway,5306,https://github.com/midwayjs/midway
infracost,infracost,5276,https://github.com/infracost/infracost
thangchung,clean-code-dotnet,4556,https://github.com/thangchung/clean-code-dotnet
budtmo,docker-android,4200,https://github.com/budtmo/docker-android
cloud-custodian,cloud-custodian,3999,https://github.com/cloud-custodian/cloud-custodian
nccgroup,ScoutSuite,3941,https://github.com/nccgroup/ScoutSuite
aquasecurity,tfsec,3900,https://github.com/aquasecurity/tfsec
bridgecrewio,checkov,3766,https://github.com/bridgecrewio/checkov
Azure,autorest,3651,https://github.com/Azure/autorest
simov,grant,3559,https://github.com/simov/grant
Azure,azure-sdk-for-net,3290,https://github.com/Azure/azure-sdk-for-net
microsoft,SynapseML,3128,https://github.com/microsoft/SynapseML
hashicorp,terraform-provider-azurerm,3116,https://github.com/hashicorp/terraform-provider-azurerm
Azure,azure-powershell,2940,https://github.com/Azure/azure-powershell
Azure,azure-cli,2922,https://github.com/Azure/azure-cli
Azure,MachineLearningNotebooks,2851,https://github.com/Azure/MachineLearningNotebooks
mlabouardy,komiser,2701,https://github.com/mlabouardy/komiser
APIs-guru,openapi-directory,2675,https://github.com/APIs-guru/openapi-directory
learntocloud,learn-to-cloud,2425,https://github.com/learntocloud/learn-to-cloud
