username,repo,stars,url
babel,babel,40390,https://github.com/babel/babel
nylas,nylas-mail,24639,https://github.com/nylas/nylas-mail
kriasoft,react-starter-kit,21103,https://github.com/kriasoft/react-starter-kit
swc-project,swc,20302,https://github.com/swc-project/swc
avajs,ava,19578,https://github.com/avajs/ava
electron-react-boilerplate,electron-react-boilerplate,19027,https://github.com/electron-react-boilerplate/electron-react-boilerplate
SimulatedGREG,electron-vue,14717,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,14231,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,10716,https://github.com/jamiebuilds/babel-handbook
grommet,grommet,7794,https://github.com/grommet/grommet
developit,htm,7424,https://github.com/developit/htm
angular-fullstack,generator-angular-fullstack,6134,https://github.com/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,5467,https://github.com/documentationjs/documentation
insin,nwb,5437,https://github.com/insin/nwb
ben-rogerson,twin.macro,5359,https://github.com/ben-rogerson/twin.macro
egoist,poi,5289,https://github.com/egoist/poi
thinkjs,thinkjs,5261,https://github.com/thinkjs/thinkjs
transitive-bullshit,create-react-library,4603,https://github.com/transitive-bullshit/create-react-library
babel,babel-loader,4597,https://github.com/babel/babel-loader
jaredpalmer,backpack,4462,https://github.com/jaredpalmer/backpack
duxianwei520,react,4447,https://github.com/duxianwei520/react
fkling,astexplorer,4436,https://github.com/fkling/astexplorer
babel,minify,4312,https://github.com/babel/minify
tleunen,babel-plugin-module-resolver,3154,https://github.com/tleunen/babel-plugin-module-resolver
andywer,webpack-blocks,2986,https://github.com/andywer/webpack-blocks
babel,babel-eslint,2966,https://github.com/babel/babel-eslint
kunalkapadia,express-mongoose-es6-rest-api,2823,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
thx,gogocode,2788,https://github.com/thx/gogocode
privatenumber,esbuild-loader,2681,https://github.com/privatenumber/esbuild-loader
uidotdev,react-course,2460,https://github.com/uidotdev/react-course
