username,repo,stars,url
jlevy,the-art-of-command-line,102024,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,55349,https://github.com/nvm-sh/nvm
junegunn,fzf,42037,https://github.com/junegunn/fzf
dylanaraps,pure-bash-bible,28339,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,27768,https://github.com/koalaman/shellcheck
mathiasbynens,dotfiles,27443,https://github.com/mathiasbynens/dotfiles
LeCoupa,awesome-cheatsheets,26845,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,25350,https://github.com/acmesh-official/acme.sh
alebcay,awesome-shell,22923,https://github.com/alebcay/awesome-shell
starship,starship,22375,https://github.com/starship/starship
jaywcjlove,linux-command,17872,https://github.com/jaywcjlove/linux-command
Nyr,openvpn-install,14442,https://github.com/Nyr/openvpn-install
dylanaraps,neofetch,14256,https://github.com/dylanaraps/neofetch
rbenv,rbenv,13949,https://github.com/rbenv/rbenv
powerline,powerline,13099,https://github.com/powerline/powerline
shelljs,shelljs,13024,https://github.com/shelljs/shelljs
Bash-it,bash-it,12776,https://github.com/Bash-it/bash-it
jessfraz,dockerfiles,12346,https://github.com/jessfraz/dockerfiles
faressoft,terminalizer,12321,https://github.com/faressoft/terminalizer
withfig,autocomplete,10669,https://github.com/withfig/autocomplete
denisidoro,navi,10261,https://github.com/denisidoro/navi
codota,TabNine,8972,https://github.com/codota/TabNine
rgcr,m-cli,8729,https://github.com/rgcr/m-cli
alexanderepstein,Bash-Snippets,8611,https://github.com/alexanderepstein/Bash-Snippets
kanaka,mal,8423,https://github.com/kanaka/mal
direnv,direnv,8413,https://github.com/direnv/direnv
skywind3000,awesome-cheatsheets,8107,https://github.com/skywind3000/awesome-cheatsheets
carlospolop,PEASS-ng,7708,https://github.com/carlospolop/PEASS-ng
angristan,openvpn-install,7428,https://github.com/angristan/openvpn-install
extrawurst,gitui,7283,https://github.com/extrawurst/gitui
