username,repo,stars,url
bitcoin,bitcoin,61834,https://github.com/bitcoin/bitcoin
ccxt,ccxt,23236,https://github.com/ccxt/ccxt
HelloZeroNet,ZeroNet,17315,https://github.com/HelloZeroNet/ZeroNet
freqtrade,freqtrade,15763,https://github.com/freqtrade/freqtrade
askmike,gekko,9857,https://github.com/askmike/gekko
bbfamily,abu,8750,https://github.com/bbfamily/abu
solana-labs,solana,7303,https://github.com/solana-labs/solana
lbryio,lbry-sdk,7136,https://github.com/lbryio/lbry-sdk
dvf,blockchain,6669,https://github.com/dvf/blockchain
yeasy,blockchain_guide,5951,https://github.com/yeasy/blockchain_guide
lightningnetwork,lnd,5779,https://github.com/lightningnetwork/lnd
butor,blackbird,5484,https://github.com/butor/blackbird
spesmilo,electrum,5468,https://github.com/spesmilo/electrum
btcsuite,btcd,4665,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4490,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4224,https://github.com/bitcoinj/bitcoinj
bisq-network,bisq,3878,https://github.com/bisq-network/bisq
CryptoSignal,Crypto-Signal,3805,https://github.com/CryptoSignal/Crypto-Signal
michaelgrosner,tribeca,3672,https://github.com/michaelgrosner/tribeca
coinpride,CryptoList,3632,https://github.com/coinpride/CryptoList
Scanate,EthList,3610,https://github.com/Scanate/EthList
RomelTorres,alpha_vantage,3595,https://github.com/RomelTorres/alpha_vantage
jesse-ai,jesse,3575,https://github.com/jesse-ai/jesse
Zheaoli,awesome-coins,3506,https://github.com/Zheaoli/awesome-coins
bitpay,wallet,3424,https://github.com/bitpay/wallet
btcpayserver,btcpayserver,3288,https://github.com/btcpayserver/btcpayserver
SqueezerIO,squeezer,3253,https://github.com/SqueezerIO/squeezer
Jeiwan,blockchain_go,3228,https://github.com/Jeiwan/blockchain_go
cointop-sh,cointop,3023,https://github.com/cointop-sh/cointop
bitcoin-wallet,bitcoin-wallet,2740,https://github.com/bitcoin-wallet/bitcoin-wallet
